INFO 2022-03-17 13:23:41,550 apps 303718 140635178264384 futures_trader app started!
INFO 2022-03-17 13:39:07,189 auto_trader 303718 140634397005568 42.663598547510375,40589.0
INFO 2022-03-17 13:39:18,347 auto_trader 303718 140634397005568 42.536943632499714,40580.0
INFO 2022-03-17 13:39:29,613 auto_trader 303718 140634397005568 42.663598547510375,40590.0
INFO 2022-03-17 13:39:40,972 auto_trader 303718 140634397005568 42.73114426280036,40598.0
INFO 2022-03-17 13:39:52,381 auto_trader 303718 140634397005568 42.77054478236946,40605.0
INFO 2022-03-17 13:40:09,252 auto_trader 303718 140634397005568 42.77898764082908,40605.0
INFO 2022-03-17 13:40:20,712 auto_trader 303718 140634397005568 42.712381813400725,40601.0
INFO 2022-03-17 13:40:31,950 auto_trader 303718 140634397005568 42.79774940950016,40604.0
INFO 2022-03-17 13:40:43,167 auto_trader 303718 140634397005568 42.77617335899096,40604.0
INFO 2022-03-17 13:40:54,399 auto_trader 303718 140634397005568 42.87842282985107,40613.0
INFO 2022-03-17 13:41:05,595 auto_trader 303718 140634397005568 42.77148287967143,40604.0
INFO 2022-03-17 13:41:17,755 auto_trader 303718 140634397005568 42.707691171087234,40597.0
INFO 2022-03-17 13:41:29,112 auto_trader 303718 140634397005568 42.60355582525285,40583.0
INFO 2022-03-17 13:41:40,524 auto_trader 303718 140634397005568 42.749906520440796,40600.0
INFO 2022-03-17 13:41:58,169 auto_trader 303718 140634397005568 42.82776784053834,40644.0
INFO 2022-03-17 13:42:09,431 auto_trader 303718 140634397005568 43.06039403867555,40637.0
INFO 2022-03-17 13:42:20,979 auto_trader 303718 140634397005568 43.315498555962,40659.0
INFO 2022-03-17 13:42:32,294 auto_trader 303718 140634397005568 43.29111509783165,40659.0
INFO 2022-03-17 13:42:43,494 auto_trader 303718 140634397005568 43.27517189237888,40651.0
INFO 2022-03-17 13:42:54,729 auto_trader 303718 140634397005568 43.25829070036691,40654.0
INFO 2022-03-17 13:43:11,415 auto_trader 303718 140634397005568 43.19076437972559,40652.0
INFO 2022-03-17 13:43:23,845 auto_trader 303718 140634397005568 43.179509751430324,40652.0
INFO 2022-03-17 13:43:34,999 auto_trader 303718 140634397005568 43.15606238750896,40644.0
INFO 2022-03-17 13:43:46,337 auto_trader 303718 140634397005568 43.13542845949546,40642.0
INFO 2022-03-17 13:43:57,905 auto_trader 303718 140634397005568 43.11573222092601,40636.0
INFO 2022-03-17 13:44:09,057 auto_trader 303718 140634397005568 43.11573222092601,40637.0
INFO 2022-03-17 13:44:20,220 auto_trader 303718 140634397005568 43.240471495920616,40659.0
INFO 2022-03-17 13:44:31,489 auto_trader 303718 140634397005568 43.13449054816636,40650.0
INFO 2022-03-17 13:44:42,960 auto_trader 303718 140634397005568 43.13449054816636,40640.0
INFO 2022-03-17 13:44:54,484 auto_trader 303718 140634397005568 43.09697370198826,40639.0
INFO 2022-03-17 13:45:11,698 auto_trader 303718 140634397005568 43.12229765726582,40639.0
INFO 2022-03-17 13:45:23,145 auto_trader 303718 140634397005568 43.10447713256845,40638.0
INFO 2022-03-17 13:45:34,605 auto_trader 303718 140634397005568 43.02193770919574,40622.0
INFO 2022-03-17 13:45:45,919 auto_trader 303718 140634397005568 42.926262369660556,40622.0
INFO 2022-03-17 13:45:57,462 auto_trader 303718 140634397005568 42.990046483419285,40629.0
INFO 2022-03-17 13:46:09,747 auto_trader 303718 140634397005568 43.02287567803606,40632.0
INFO 2022-03-17 13:46:26,893 auto_trader 303718 140634397005568 43.36145111581519,40667.0
INFO 2022-03-17 13:46:38,678 auto_trader 303718 140634397005568 43.22640358074041,40657.0
INFO 2022-03-17 13:46:50,979 auto_trader 303718 140634397005568 43.198267426917916,40650.0
INFO 2022-03-17 13:47:02,223 auto_trader 303718 140634397005568 43.17857186262333,40651.0
INFO 2022-03-17 13:47:14,199 auto_trader 303718 140634397005568 43.114794299531994,40642.0
INFO 2022-03-17 13:47:25,785 auto_trader 303718 140634397005568 43.041634954210814,40638.0
INFO 2022-03-17 13:47:37,250 auto_trader 303718 140634397005568 43.03694515313978,40637.0
INFO 2022-03-17 13:47:48,502 auto_trader 303718 140634397005568 43.06977350901805,40638.0
INFO 2022-03-17 13:47:59,777 auto_trader 303718 140634397005568 43.06977350901805,40643.0
INFO 2022-03-17 13:48:11,034 auto_trader 303718 140634397005568 42.85966188567667,40610.0
INFO 2022-03-17 13:48:22,679 auto_trader 303718 140634397005568 43.08009087103914,40639.0
INFO 2022-03-17 13:48:34,068 auto_trader 303718 140634397005568 43.12792515543792,40640.0
INFO 2022-03-17 13:48:46,467 auto_trader 303718 140634397005568 43.15231078148607,40648.0
INFO 2022-03-17 13:48:57,628 auto_trader 303718 140634397005568 43.14199382538776,40649.0
INFO 2022-03-17 13:49:08,891 auto_trader 303718 140634397005568 43.05570428553255,40631.0
INFO 2022-03-17 13:49:20,014 auto_trader 303718 140634397005568 43.11573222092601,40645.0
INFO 2022-03-17 13:49:31,390 auto_trader 303718 140634397005568 43.14762126317569,40651.0
INFO 2022-03-17 13:49:42,661 auto_trader 303718 140634397005568 43.28173675845505,40664.0
INFO 2022-03-17 13:50:00,809 auto_trader 303718 140634397005568 43.23015503533086,40654.0
INFO 2022-03-17 13:50:20,268 auto_trader 303718 140634397005568 43.23015503533086,40645.0
INFO 2022-03-17 13:50:40,055 auto_trader 303718 140634397005568 43.15606238750896,None
INFO 2022-03-17 13:50:56,205 auto_trader 303718 140634397005568 43.2142113003694,40645.0
INFO 2022-03-17 13:51:15,342 auto_trader 303718 140634397005568 43.09040817507133,40638.0
INFO 2022-03-17 13:51:30,409 auto_trader 303718 140634397005568 43.075401168218896,40637.0
INFO 2022-03-17 13:51:49,151 auto_trader 303718 140634397005568 43.099787492050794,40638.0
INFO 2022-03-17 13:52:06,148 auto_trader 303718 140634397005568 43.099787492050794,40636.0
INFO 2022-03-17 13:52:24,374 auto_trader 303718 140634397005568 43.038821075006894,40631.0
INFO 2022-03-17 13:52:39,732 auto_trader 303718 140634397005568 43.18513707420314,40652.0
INFO 2022-03-17 13:52:51,612 auto_trader 303718 140634397005568 43.21514917096457,40652.0
INFO 2022-03-17 13:53:04,750 auto_trader 303718 140634397005568 43.22546571589484,40652.0
INFO 2022-03-17 13:53:25,199 auto_trader 303718 140634397005568 43.32581453688896,40665.0
INFO 2022-03-17 13:53:40,458 auto_trader 303718 140634397005568 43.249850046140274,40654.0
INFO 2022-03-17 13:53:57,764 auto_trader 303718 140634397005568 43.249850046140274,40653.0
INFO 2022-03-17 13:54:11,995 auto_trader 303718 140634397005568 43.30987163283635,40652.0
INFO 2022-03-17 13:54:27,357 auto_trader 303718 140634397005568 43.346446324809264,40667.0
INFO 2022-03-17 13:54:44,457 auto_trader 303718 140634397005568 43.53681051660057,40684.0
INFO 2022-03-17 13:55:01,253 auto_trader 303718 140634397005568 43.46085475812232,40684.0
INFO 2022-03-17 13:55:20,300 auto_trader 303718 140634397005568 43.44866403501732,40679.0
INFO 2022-03-17 13:55:36,373 auto_trader 303718 140634397005568 43.329565788307036,40665.0
INFO 2022-03-17 13:55:52,554 auto_trader 303718 140634397005568 43.423344582154726,40675.0
INFO 2022-03-17 13:56:07,088 auto_trader 303718 140634397005568 43.35676213180307,40672.0
INFO 2022-03-17 13:56:25,425 auto_trader 303718 140634397005568 43.34738412784095,40672.0
INFO 2022-03-17 13:56:39,966 auto_trader 303718 140634397005568 43.380206932080625,40672.0
INFO 2022-03-17 13:56:57,122 auto_trader 303718 140634397005568 43.31456073663817,40667.0
INFO 2022-03-17 13:57:15,814 auto_trader 303718 140634397005568 43.16356557655037,40637.0
INFO 2022-03-17 13:57:28,401 auto_trader 303718 140634397005568 43.12792515543792,40638.0
INFO 2022-03-17 13:57:46,088 auto_trader 303718 140634397005568 43.058518138855945,40638.0
INFO 2022-03-17 13:57:57,277 auto_trader 303718 140634397005568 43.05476633346604,40637.0
INFO 2022-03-17 13:58:08,564 auto_trader 303718 140634397005568 43.02287567803606,40635.0
INFO 2022-03-17 13:58:20,104 auto_trader 303718 140634397005568 43.04538678644059,40632.0
INFO 2022-03-17 13:58:31,520 auto_trader 303718 140634397005568 43.04538678644059,40633.0
INFO 2022-03-17 13:58:42,742 auto_trader 303718 140634397005568 43.20389469218549,40643.0
INFO 2022-03-17 13:58:54,010 auto_trader 303718 140634397005568 43.18607495965476,40647.0
INFO 2022-03-17 13:59:05,277 auto_trader 303718 140634397005568 43.062269936579916,40634.0
INFO 2022-03-17 13:59:16,512 auto_trader 303718 140634397005568 43.128863070121696,40634.0
INFO 2022-03-17 13:59:27,981 auto_trader 303718 140634397005568 43.16825505412713,40641.0
INFO 2022-03-17 13:59:39,575 auto_trader 303718 140634397005568 43.18888861313531,40654.0
INFO 2022-03-17 13:59:50,988 auto_trader 303718 140634397005568 43.260166396036,40654.0
