WARNING 2022-02-18 20:00:10,009 retry_on_timeout 22062 139773033973504 retry on timeout: fetch_ohlcv!
WARNING 2022-02-18 20:53:15,975 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,022 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,111 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,148 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,196 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,259 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,317 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,338 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,375 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,407 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,470 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,532 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,549 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,612 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,644 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,738 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,796 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,843 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,891 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:16,948 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:17,021 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:17,094 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:17,166 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-18 20:53:17,220 bot_handler 25227 140160920254208 Could not connect to muck price server from price ticker 0!
