WARNING 2022-03-24 13:05:10,438 retry_on_timeout 428758 140411674818304 retry on timeout: fetch_ohlcv!
WARNING 2022-03-24 13:07:10,450 retry_on_timeout 428758 140411674818304 retry on timeout: fetch_ohlcv!
WARNING 2022-03-24 13:10:30,256 retry_on_timeout 428758 140411674818304 retry on timeout: fetch_ohlcv!
WARNING 2022-03-24 13:17:07,852 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:07,940 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:07,982 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,009 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,072 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,140 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,207 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,270 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,322 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,354 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,376 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,423 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,485 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,537 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,590 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,654 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,670 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,702 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,755 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,792 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,855 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,918 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:08,980 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,038 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,091 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,138 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,211 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,273 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,331 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,398 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,450 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,493 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,560 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,623 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,685 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,738 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,780 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,842 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,894 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:09,926 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,010 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,058 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,126 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,198 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,251 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,318 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,376 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,433 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,480 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,532 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,600 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,657 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,699 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,747 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,773 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,820 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,857 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,899 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
WARNING 2022-03-24 13:17:10,946 bot_handler 435139 140608726923008 Could not connect to muck price server from price ticker 0!
