WARNING 2022-02-21 15:21:29,529 retry_on_timeout 87652 139799093503744 retry on timeout: fetch_ohlcv!
WARNING 2022-02-21 15:21:54,670 retry_on_timeout 87652 139799093503744 retry on timeout: fetch_ohlcv!
WARNING 2022-02-21 15:21:59,715 retry_on_timeout 87652 139799093503744 retry on timeout: fetch_ohlcv!
WARNING 2022-02-21 15:22:04,173 bot_handler 87652 139799816627968 Error in futures price ticker 0 was occurred!
WARNING 2022-02-21 15:22:04,174 bot_handler 87652 139799816627968 websocket 0 was closed
WARNING 2022-02-21 15:22:04,732 retry_on_timeout 87652 139799093503744 retry on timeout: fetch_ohlcv!
WARNING 2022-02-21 15:22:09,754 retry_on_timeout 87652 139799093503744 retry on timeout: fetch_ohlcv!
WARNING 2022-02-21 15:22:14,800 retry_on_timeout 87652 139799093503744 retry on timeout: fetch_ohlcv!
WARNING 2022-02-21 15:22:19,278 retry_on_timeout 87652 139799070365440 retry on timeout: fetch_status!
WARNING 2022-02-21 15:24:30,325 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:30,413 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:30,470 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:30,569 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:30,657 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:30,735 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:30,797 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:30,855 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:30,971 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,021 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,058 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,115 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,257 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,314 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,366 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,413 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,450 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,513 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,577 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,675 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,808 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,869 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,927 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:31,979 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:32,041 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:32,152 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:32,247 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:32,374 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:32,422 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:32,495 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:32,559 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:32,616 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:32,660 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:32,764 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:32,860 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:32,927 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:32,990 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:33,047 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:33,120 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:33,253 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:33,361 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:33,439 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:33,496 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:33,532 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:33,599 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:33,646 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:33,724 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:33,786 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:33,843 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:33,890 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:33,947 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,004 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,061 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,102 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,175 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,259 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,332 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,401 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,455 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,519 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,597 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,676 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,715 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,772 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,819 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,861 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
WARNING 2022-02-21 15:24:34,897 bot_handler 88071 140381957756672 Could not connect to muck price server from price ticker 0!
